review_id,review,rating,time,company,data_source
,i mean  apple music is a really good app especially when you want to find songs but one time i was looking for a really good song by melanie martinez and turns out the song wasnt even there i did this a few other times with some other songs and it wasnt there either and yes  their actual songs do not just some made up songs so the only improvement that i think apple music should make is excepting more recent songs because the songs im really looking for is there only speed up and i just want a normal songs and sometimes theyre not even sped up well yeah thats all i have to say because thats the only improvement this app needs ,3,1/10/2023 21:53,Apple Music,IOS
,i just wanted to explore the app but immediate i was faced with signing uphere comes the spam marketing emails  and choosing a pricy subscriptionis it worthy it id not know i havent seen anything yet then you find the way out of the subscription screen and bamm they hit you with another one a bit cheaper though after that finally i got to the app almost everything is locked but i tried clicking anyways right cause thats why im here bammm they hit you with the subscription page because you need to pay to view that content  okay ill got back and look for something free so that i can see this app in use scrolling scrolling scrolling almost nothing is unlocked and them bammm pop upthey want a app review i just got here  i cant review yet  all that to say i gave up at that point and i still dont know if its good app maybe but it was a stressful experience getting almost nowhere and then hours later after ive given up and deleted the app and moved on bammm email comes in from calm offering a discounted subscription   ironically the most stressful thing in my day was this calm app,2,9/30/2021 12:28,Amazon Music,IOS
69363cf5-3e0e-498b-a28c-46f606c32fa0,it just loops songs does not generate new playlists it repeats repeats repeats repeats songs im honestly gonna cancel this dont waste your money on this,1,2/18/2025 23:46,Amazon Music,Android
1bd877b4-a132-49e3-ba4b-3f3db5216311,at this point  i feel like i paid for premium so i can listen to spotify premium advertisements  not the no advertisement free when you get the premium,1,2/25/2025 15:49,Spotify,Android
6d249900-e97d-4ec8-af1d-a1ebcc8195c2,i love dis app as a true music lover  able to get the musics what ever i want enjoyed,5,2/22/2025 1:59,Apple Music,Android
56209a3b-fe49-433b-a5c6-b02d7209395a,youtube music offers a great library of songs that are adfree on premium and easy to access even when offline it also recommends songs and albums based on your search activity from the app and youtube i would say it is worth it especially when on a premium subscription however  without a premium package  its services are stripped down to the basics which dont stand out to any user,4,12/25/2024 8:52,YouTube Music,Android
698095ff-a93f-4285-9c29-6c71a92f2f35,had good features but too invasive abuses you privacy it abuses bluetooth tech to map everything and even tried to connect to unknown devices on by default now it no longer acts online even though everything else works still not happy with paying the ridiculous fee when theyre collecting all the information they get from us they should be paying us however the service has gotten better but theyre not very privacy concerned at all still unfortunately nonexistent,3,2/25/2025 0:20,Spotify,Android
76e8bd01-0d24-4db0-ad58-8e1ae6b7f657,been using this app for a month now  my subscription ended and asked to renew after i renew  my apple id is now locked what the hell,1,1/12/2025 23:17,Apple Music,Android
,watch and carplay components dont work well watch should always show currently playing not the very bottom of a playlist selection that i have to scroll to the top of   then selecting the now playing option thats if i didnt scroll too far   scrolling too far minimizes the application and im back home secondly carplay needs a thumbs up and down button you can argue theres too much going happening on the screen in a car but if it was there i wouldnt feel the need to unlock my phone and do it that way while driving if it was just readily available on the carplay screen,3,8/6/2021 14:55,YouTube Music,IOS
179ea450-2397-4f3a-98f1-83378a01f629,cant sign in due to require a verification code but its didnt text to me its required code from trusted devices which is not nearby me,3,2/3/2025 14:54,Apple Music,Android
db4e7382-9e5f-4351-9870-32393eedf00f,here we can hear all types of songs and podcasts we can create our own playlist and can add our favourites in the library,5,2/18/2025 9:34,Amazon Music,Android
